verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
2CH.29.4	29	4	And he brought in the priests and the Levites, and gathered them together into the east street,	0.0	neutral	Convocou os sacerdotes e os levitas, reuniu-os na praça que fica no lado leste
2CH.29.5	29	5	And said unto them, Hear me, ye Levites, sanctify now yourselves, and sanctify the house of the LORD God of your fathers, and carry forth the filthiness out of the holy {place}.	0.0	neutral	"e disse: ""Escutem-me, levitas! Consagrem-se agora e consagrem o templo do Senhor, o Deus dos seus antepassados. Retirem tudo o que é impuro do santuário."
2CH.29.6	29	6	For our fathers have trespassed, and done {that which was} evil in the eyes of the LORD our God, and have forsaken him, and have turned away their faces from the habitation of the LORD, and turned {their} backs. {turned their...: Heb. given the neck}	-1.0	negative	Nossos pais foram infiéis; fizeram o que o Senhor, o nosso Deus, reprova e o abandonaram. Desviaram o rosto do local da habitação do Senhor e deram-lhe as costas.
2CH.29.7	29	7	Also they have shut up the doors of the porch, and put out the lamps, and have not burned incense nor offered burnt offerings in the holy {place} unto the God of Israel.	0.0	neutral	Também fecharam as portas do pórtico e apagaram as lâmpadas. Não queimaram incenso nem apresentaram holocausto no santuário para o Deus de Israel.
2CH.29.8	29	8	Wherefore the wrath of the LORD was upon Judah and Jerusalem, and he hath delivered them to trouble, to astonishment, and to hissing, as ye see with your eyes. {trouble: Heb. commotion}	-0.2	negative	Por isso, a ira do Senhor caiu sobre Judá e sobre Jerusalém; e ele fez deles objeto de espanto, horror e zombaria, conforme vocês podem ver com os seus próprios olhos.
2CH.29.9	29	9	For, lo, our fathers have fallen by the sword, and our sons and our daughters and our wives {are} in captivity for this.	0.0	neutral	Por isso os nossos pais caíram à espada e os nossos filhos, as nossas filhas e as nossas mulheres foram levadas como prisioneiras.
2CH.29.10	29	10	Now {it is} in mine heart to make a covenant with the LORD God of Israel, that his fierce wrath may turn away from us.	0.0	neutral	Pretendo, pois, agora fazer uma aliança com o Senhor, o Deus de Israel, para que o fogo da sua ira se afaste de nós.
2CH.29.11	29	11	My sons, be not now negligent: for the LORD hath chosen you to stand before him, to serve him, and that ye should minister unto him, and burn incense. {be not...: or, be not now deceived} {burn...: or, offer sacrifice}	0.0	neutral	"Meus filhos, não sejam negligentes agora, pois o Senhor os escolheu para estarem diante dele e o servirem, para ministrarem perante ele e queimarem incenso""."
2CH.29.12	29	12	Then the Levites arose, Mahath the son of Amasai, and Joel the son of Azariah, of the sons of the Kohathites: and of the sons of Merari, Kish the son of Abdi, and Azariah the son of Jehalelel: and of the Gershonites; Joah the son of Zimmah, and Eden the son of Joah:	0.0	neutral	Então estes levitas puseram-se a trabalhar: dentre os descendentes de Coate: Maate, filho de Amasai, e Joel, filho de Azarias; dentre os descendentes de Merari: Quis, filho de Abdi, e Azarias, filho de Jealelel; dentre os descendentes de Gérson: Joá, filho de Zima, e Éden, filho de Joá;
2CH.29.13	29	13	And of the sons of Elizaphan; Shimri, and Jeiel: and of the sons of Asaph; Zechariah, and Mattaniah:	0.0	neutral	dentre os descendentes de Elisafã: Sinri e Jeuel; dentre os descendentes de Asafe: Zacarias e Matanias;
2CH.29.14	29	14	And of the sons of Heman; Jehiel, and Shimei: and of the sons of Jeduthun; Shemaiah, and Uzziel.	0.0	neutral	dentre os descendentes de Hemã: Jeuel e Simei; dentre os descendentes de Jedutum: Semaías e Uziel.
2CH.29.15	29	15	And they gathered their brethren, and sanctified themselves, and came, according to the commandment of the king, by the words of the LORD, to cleanse the house of the LORD. {by the words...: or, in the business of the LORD}	0.0	neutral	Tendo reunido e consagrado os seus parentes, os levitas foram purificar o templo do Senhor, conforme o rei havia ordenado em obediência à palavra do Senhor.
2CH.29.16	29	16	And the priests went into the inner part of the house of the LORD, to cleanse {it}, and brought out all the uncleanness that they found in the temple of the LORD into the court of the house of the LORD. And the Levites took {it}, to carry {it} out abroad into the brook Kidron.	0.0	neutral	Os sacerdotes entraram no santuário do Senhor para purificá-lo e trouxeram para o pátio do templo do Senhor todas as coisas impuras que lá havia, e os levitas as levaram para o vale de Cedrom.
2CH.29.17	29	17	Now they began on the first {day} of the first month to sanctify, and on the eighth day of the month came they to the porch of the LORD: so they sanctified the house of the LORD in eight days; and in the sixteenth day of the first month they made an end.	0.25	positive	Começaram a consagração no dia primeiro do primeiro mês, e no oitavo dia chegaram ao pórtico do Senhor. Durante mais oito dias consagraram o templo do Senhor propriamente dito, terminando tudo no dia dezesseis.
2CH.29.18	29	18	Then they went in to Hezekiah the king, and said, We have cleansed all the house of the LORD, and the altar of burnt offering, with all the vessels thereof, and the shewbread table, with all the vessels thereof.	0.0	neutral	"Depois foram falar com o rei Ezequias e lhe relataram: ""Purificamos todo o templo do Senhor, o altar dos holocaustos e a mesa do pão consagrado, ambos com todos seus utensílios."
2CH.29.19	29	19	Moreover all the vessels, which king Ahaz in his reign did cast away in his transgression, have we prepared and sanctified, and, behold, they {are} before the altar of the LORD.	0.0	neutral	"Preparamos e consagramos todos os utensílios que o rei Acaz, em sua infidelidade, retirou durante o seu reinado. Eles estão em frente do altar do Senhor""."
2CH.29.20	29	20	Then Hezekiah the king rose early, and gathered the rulers of the city, and went up to the house of the LORD.	0.35	positive	Cedo, na manhã seguinte, o rei Ezequias reuniu os líderes da cidade e, juntos, subiram ao templo do Senhor,
2CH.29.21	29	21	And they brought seven bullocks, and seven rams, and seven lambs, and seven he goats, for a sin offering for the kingdom, and for the sanctuary, and for Judah. And he commanded the priests the sons of Aaron to offer {them} on the altar of the LORD.	0.0	neutral	levando sete novilhos, sete carneiros, sete cordeiros e sete bodes como oferta pelo pecado, em favor da realeza, do santuário e de Judá. O rei ordenou que os sacerdotes, descendentes de Arão, sacrificassem os animais no altar do Senhor.
2CH.29.22	29	22	So they killed the bullocks, and the priests received the blood, and sprinkled {it} on the altar: likewise, when they had killed the rams, they sprinkled the blood upon the altar: they killed also the lambs, and they sprinkled the blood upon the altar.	-0.2	negative	Então os sacerdotes abateram os novilhos e aspergiram o sangue sobre o altar; em seguida fizeram o mesmo com os carneiros e com os cordeiros.
2CH.29.23	29	23	And they brought forth the he goats {for} the sin offering before the king and the congregation; and they laid their hands upon them: {forth: Heb. near}	-0.325	negative	Depois, os bodes para a oferta pelo pecado foram levados para diante do rei e da assembléia, que impuseram as mãos sobre eles.
2CH.29.24	29	24	And the priests killed them, and they made reconciliation with their blood upon the altar, to make an atonement for all Israel: for the king commanded {that} the burnt offering and the sin offering {should be made} for all Israel.	-0.2	negative	Os sacerdotes abateram os bodes e apresentaram o sangue sobre o altar como oferta pelo pecado, para fazer propiciação por todo o Israel, pois era em favor de todo o Israel que o rei havia ordenado o holocausto e a oferta pelo pecado.
2CH.29.25	29	25	And he set the Levites in the house of the LORD with cymbals, with psalteries, and with harps, according to the commandment of David, and of Gad the king's seer, and Nathan the prophet: for {so was} the commandment of the LORD by his prophets. {commandment of the LORD: Heb. commandment by the hand of the LORD} {by: Heb. by the hand of}	0.0	neutral	O rei posicionou os levitas no templo do Senhor, com címbalos, liras e harpas, segundo a prescrição de Davi, de Gade, vidente do rei, e do profeta Natã; isso foi ordenado pelo Senhor, por meio de seus profetas.
2CH.29.26	29	26	And the Levites stood with the instruments of David, and the priests with the trumpets.	0.0	neutral	Assim os levitas ficaram em pé, preparados com os instrumentos de Davi, e os sacerdotes com as cornetas.
2CH.29.27	29	27	And Hezekiah commanded to offer the burnt offering upon the altar. And when the burnt offering began, the song of the LORD began {also} with the trumpets, and with the instruments {ordained} by David king of Israel. {when: Heb. in the time} {the instruments: Heb. hands of instruments}	0.0	neutral	Então Ezequias ordenou que sacrificassem o holocausto sobre o altar. Iniciado o sacrifício, começou também o canto ao Senhor, ao som das cornetas e dos instrumentos de Davi, rei de Israel.
2CH.29.28	29	28	And all the congregation worshipped, and the singers sang, and the trumpeters sounded: {and} all {this continued} until the burnt offering was finished. {singers: Heb. song}	-0.75	negative	Toda a assembléia prostrou-se em adoração, enquanto os músicos cantavam e os corneteiros tocavam, até que terminou o holocausto.
2CH.29.29	29	29	And when they had made an end of offering, the king and all that were present with him bowed themselves, and worshipped. {present: Heb. found}	0.0	neutral	Então o rei e todos os presentes ajoelharam-se e adoraram.
2CH.29.30	29	30	Moreover Hezekiah the king and the princes commanded the Levites to sing praise unto the LORD with the words of David, and of Asaph the seer. And they sang praises with gladness, and they bowed their heads and worshipped.	0.0	neutral	O rei Ezequias e seus oficiais ordenaram aos levitas que louvassem o Senhor com as palavras de Davi e do vidente Asafe. Eles louvaram com alegria, depois inclinaram suas cabeças e adoraram.
2CH.29.31	29	31	Then Hezekiah answered and said, Now ye have consecrated yourselves unto the LORD, come near and bring sacrifices and thank offerings into the house of the LORD. And the congregation brought in sacrifices and thank offerings; and as many as were of a free heart burnt offerings. {consecrated...: or, filled your hand}	0.3	positive	"Disse então Ezequias: ""Agora que vocês se dedicaram ao Senhor, tragam sacrifícios e ofertas de gratidão ao templo do Senhor"". Assim, a comunidade levou sacrifícios e ofertas de gratidão, e alguns, espontaneamente, levaram também holocaustos."
2CH.29.32	29	32	And the number of the burnt offerings, which the congregation brought, was threescore and ten bullocks, an hundred rams, {and} two hundred lambs: all these {were} for a burnt offering to the LORD.	0.0	neutral	Esses holocaustos que a assembléia ofertou ao Senhor foram setenta bois, cem carneiros e duzentos cordeiros.
2CH.29.33	29	33	And the consecrated things {were} six hundred oxen and three thousand sheep.	0.2	positive	Os animais consagrados como sacrifícios chegaram a seiscentos bois e três mil ovelhas e bodes.
2CH.29.34	29	34	But the priests were too few, so that they could not flay all the burnt offerings: wherefore their brethren the Levites did help them, till the work was ended, and until the {other} priests had sanctified themselves: for the Levites {were} more upright in heart to sanctify themselves than the priests. {did help...: Heb. strengthened them}	0.0583	neutral	Como os sacerdotes eram muito poucos para tirar a pele de todos os holocaustos, os seus parentes, os levitas, os ajudaram até o fim da tarefa e até que outros sacerdotes se consagrassem, pois os levitas demoraram menos para se consagrarem do que os sacerdotes.
2CH.29.35	29	35	And also the burnt offerings {were} in abundance, with the fat of the peace offerings, and the drink offerings for {every} burnt offering. So the service of the house of the LORD was set in order.	0.0	neutral	Houve holocaustos em grande quantidade, oferecidos com a gordura das ofertas de comunhão e com as ofertas derramadas que acompanhavam esses holocaustos. Assim foi restabelecido o culto no templo do Senhor.
2CH.29.36	29	36	And Hezekiah rejoiced, and all the people, that God had prepared the people: for the thing was {done} suddenly.	0.0	neutral	Ezequias e todo o povo regozijavam-se com o que Deus havia feito por seu povo, e tudo em tão pouco tempo.
2CH.30.1	30	1	And Hezekiah sent to all Israel and Judah, and wrote letters also to Ephraim and Manasseh, that they should come to the house of the LORD at Jerusalem, to keep the passover unto the LORD God of Israel.	0.0	neutral	Ezequias enviou uma mensagem a todo o Israel e Judá e também escreveu cartas a Efraim e a Manassés, convidando-os para ir ao templo do Senhor em Jerusalém e celebrar a Páscoa do Senhor, o Deus de Israel.
2CH.30.2	30	2	For the king had taken counsel, and his princes, and all the congregation in Jerusalem, to keep the passover in the second month.	0.0	neutral	O rei, seus oficiais e toda a comunidade de Jerusalém decidiram celebrar a Páscoa no segundo mês.
