verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
JER.1.1	1	1	The words of Jeremiah the son of Hilkiah, of the priests that {were} in Anathoth in the land of Benjamin:	0.0	neutral	As palavras de Jeremias, filho de Hilquias, um dos sacerdotes de Anatote, no território de Benjamim.
JER.1.2	1	2	To whom the word of the LORD came in the days of Josiah the son of Amon king of Judah, in the thirteenth year of his reign.	0.0	neutral	A palavra do Senhor veio a ele no décimo terceiro ano do reinado de Josias, filho de Amom, rei de Judá,
JER.1.3	1	3	It came also in the days of Jehoiakim the son of Josiah king of Judah, unto the end of the eleventh year of Zedekiah the son of Josiah king of Judah, unto the carrying away of Jerusalem captive in the fifth month.	0.2	positive	e durante o reinado de Jeoaquim, filho de Josias, rei de Judá, até o quinto mês do décimo primeiro ano de Zedequias, filho de Josias, rei de Judá, quando os habitantes de Jerusalém foram levados para o exílio.
JER.1.4	1	4	Then the word of the LORD came unto me, saying,	0.0	neutral	A palavra do Senhor veio a mim, dizendo:
JER.1.5	1	5	Before I formed thee in the belly I knew thee; and before thou camest forth out of the womb I sanctified thee, {and} I ordained thee a prophet unto the nations. {ordained: Heb. gave}	0.0	neutral	"""Antes de formá-lo no ventre eu o escolhi; antes de você nascer, eu o separei e o designei profeta às nações""."
JER.1.6	1	6	Then said I, Ah, Lord GOD! behold, I cannot speak: for I {am} a child.	0.0	neutral	"Mas eu disse: ""Ah, Soberano Senhor! Eu não sei falar, pois ainda sou muito jovem""."
JER.1.7	1	7	But the LORD said unto me, Say not, I {am} a child: for thou shalt go to all that I shall send thee, and whatsoever I command thee thou shalt speak.	0.0	neutral	"O Senhor, porém, me disse: ""Não diga que é muito jovem. A todos a quem eu o enviar você irá e dirá tudo o que eu lhe ordenar."
JER.1.8	1	8	Be not afraid of their faces: for I {am} with thee to deliver thee, saith the LORD.	0.3	positive	"Não tenha medo deles, pois eu estou com você para protegê-lo"", diz o Senhor."
JER.1.9	1	9	Then the LORD put forth his hand, and touched my mouth. And the LORD said unto me, Behold, I have put my words in thy mouth.	0.0	neutral	"O Senhor estendeu a mão, tocou a minha boca e disse-me: ""Agora ponho em sua boca as minhas palavras."
JER.1.10	1	10	See, I have this day set thee over the nations and over the kingdoms, to root out, and to pull down, and to destroy, and to throw down, to build, and to plant.	-0.1704	negative	"Veja! Eu hoje dou a você autoridade sobre nações e reinos, para arrancar, despedaçar, arruinar e destruir; para edificar e para plantar""."
JER.1.11	1	11	Moreover the word of the LORD came unto me, saying, Jeremiah, what seest thou? And I said, I see a rod of an almond tree.	0.0	neutral	"E a palavra do Senhor veio a mim: ""O que você vê, Jeremias? "" ""Vejo o ramo de uma amendoeira"", respondi."
JER.1.12	1	12	Then said the LORD unto me, Thou hast well seen: for I will hasten my word to perform it.	0.0	neutral	"O Senhor me disse: ""Você viu bem, pois estou vigiando para que a minha palavra se cumpra""."
JER.1.13	1	13	And the word of the LORD came unto me the second time, saying, What seest thou? And I said, I see a seething pot; and the face thereof {is} toward the north. {toward...: Heb. from the face of the north}	0.0	neutral	"A palavra do Senhor veio a mim pela segunda vez, dizendo: ""O que você vê? "" E eu respondi: ""Vejo uma panela fervendo; ela está inclinada do norte para cá""."
