verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
1CH.7.18	7	18	And his sister Hammoleketh bare Ishod, and Abiezer, and Mahalah.	0.05	neutral	Sua irmã Hamolequete deu à luz Isode, Abiezer e Maalá.
1CH.7.19	7	19	And the sons of Shemida were, Ahian, and Shechem, and Likhi, and Aniam.	0.0	neutral	Estes foram os filhos de Semida: Aiã, Siquém, Liqui e Anião.
1CH.7.20	7	20	And the sons of Ephraim; Shuthelah, and Bered his son, and Tahath his son, and Eladah his son, and Tahath his son,	0.0	neutral	Estes foram os descendentes de Efraim: Sutela, que foi o pai de Berede, pai de Taate, pai de Eleada, que foi o pai de Taate,
1CH.7.21	7	21	And Zabad his son, and Shuthelah his son, and Ezer, and Elead, whom the men of Gath {that were} born in {that} land slew, because they came down to take away their cattle.	-0.1556	negative	pai de Zabade, pai de Sutela. Ézer e Eleade, filhos de Efraim, foram mortos por homens da cidade de Gate, quando tentavam roubar os rebanhos deles.
1CH.7.22	7	22	And Ephraim their father mourned many days, and his brethren came to comfort him.	0.5	positive	Efraim chorou muitos dias por eles, e seus parentes vieram consolá-lo.
1CH.7.23	7	23	And when he went in to his wife, she conceived, and bare a son, and he called his name Beriah, because it went evil with his house.	-0.475	negative	Depois ele se deitou de novo com sua mulher, e ela engravidou e deu à luz um filho. Ele o chamou Berias, pois tinha acontecido uma desgraça em sua família.
1CH.7.24	7	24	(And his daughter {was} Sherah, who built Bethhoron the nether, and the upper, and Uzzensherah.)	0.0	neutral	Sua filha chamava-se Seerá. Foi ela que fundou Bete-Horom Alta e Bete-Horom Baixa e também Uzém-Seerá.
1CH.7.25	7	25	And Rephah {was} his son, also Resheph, and Telah his son, and Tahan his son,	0.0	neutral	O filho de Berias foi Refa, pai de Resefe, que foi o pai de Telá, pai de Taã,
1CH.7.26	7	26	Laadan his son, Ammihud his son, Elishama his son,	0.0	neutral	pai de Ladã, pai de Amiúde, que foi o pai de Elisama,
1CH.7.27	7	27	Non his son, Jehoshua his son. {Non: or, Nun} {Jehoshua: or, Joshua}	0.0	neutral	pai de Num, que foi o pai de Josué.
1CH.7.28	7	28	And their possessions and habitations {were}, Bethel and the towns thereof, and eastward Naaran, and westward Gezer, with the towns thereof; Shechem also and the towns thereof, unto Gaza and the towns thereof: {towns: Heb. daughters} {unto Gaza: or, Adassa}	-0.75	negative	Suas terras e cidades incluíam Betel e os povoados ao redor, Naarã a leste, Gezer e seus povoados a oeste, e Siquém e Aiá com os seus povoados.
1CH.7.29	7	29	And by the borders of the children of Manasseh, Bethshean and her towns, Taanach and her towns, Megiddo and her towns, Dor and her towns. In these dwelt the children of Joseph the son of Israel. {towns: Heb. daughters}	0.0	neutral	A tribo de Manassés controlava as cidades de Bete-Seã, Taanaque, Megido e Dor, com seus respectivos povoados. Os descendentes de José, filho de Israel, viviam nessas cidades.
1CH.7.30	7	30	The sons of Asher; Imnah, and Isuah, and Ishuai, and Beriah, and Serah their sister.	0.0	neutral	Estes foram os filhos de Aser: Imna, Isvá, Isvi e Berias. A irmã deles chamava-se Sera.
1CH.7.31	7	31	And the sons of Beriah; Heber, and Malchiel, who {is} the father of Birzavith.	0.0	neutral	Estes foram os filhos de Berias: Héber e Malquiel, que foi o pai de Birzavite.
1CH.7.32	7	32	And Heber begat Japhlet, and Shomer, and Hotham, and Shua their sister.	0.0	neutral	Héber gerou Jaflete, Somer e Hotão, e da irmã deles, Suá.
1CH.7.33	7	33	And the sons of Japhlet; Pasach, and Bimhal, and Ashvath. These {are} the children of Japhlet.	0.0	neutral	Estes foram os filhos de Jaflete: Pasaque, Bimal e Asvate. Esses foram os filhos de Jaflete.
1CH.7.34	7	34	And the sons of Shamer; Ahi, and Rohgah, Jehubbah, and Aram.	0.0	neutral	Estes foram os filhos de Somer: Aí, Roga, Jeubá e Arã.
1CH.7.35	7	35	And the sons of his brother Helem; Zophah, and Imna, and Shelesh, and Amal.	0.0	neutral	Estes foram os filhos de Helém, irmão de Somer: Zofa, Imna, Seles e Amal.
1CH.7.36	7	36	The sons of Zophah; Suah, and Harnepher, and Shual, and Beri, and Imrah,	0.0	neutral	Estes foram os filhos de Zofa: Suá, Harnefer, Sual, Beri, Inra,
1CH.7.37	7	37	Bezer, and Hod, and Shamma, and Shilshah, and Ithran, and Beera.	0.0	neutral	Bezer, Hode, Samá, Silsa, Itrã e Beera.
1CH.7.38	7	38	And the sons of Jether; Jephunneh, and Pispah, and Ara.	0.0	neutral	Estes foram os filhos de Jéter: Jefoné, Pispa e Ara.
1CH.7.39	7	39	And the sons of Ulla; Arah, and Haniel, and Rezia.	0.0	neutral	Estes foram os filhos de Ula: Ara, Haniel e Rizia.
1CH.7.40	7	40	All these {were} the children of Asher, heads of {their} father's house, choice {and} mighty men of valour, chief of the princes. And the number throughout the genealogy of them that were apt to the war {and} to battle {was} twenty and six thousand men.	0.5	positive	Todos esses foram descendentes de Aser. Eram chefes de famílias, homens escolhidos, soldados valentes e líderes de destaque. O número dos alistados para combate no exército deles chegou a 26. 000.
1CH.8.1	8	1	Now Benjamin begat Bela his firstborn, Ashbel the second, and Aharah the third,	0.0	neutral	Benjamim gerou Belá, seu filho mais velho; Asbel, seu segundo filho, Aará, o terceiro,
1CH.8.2	8	2	Nohah the fourth, and Rapha the fifth.	0.0	neutral	Noá, o quarto, e Rafa, o quinto.
1CH.8.3	8	3	And the sons of Bela were, Addar, and Gera, and Abihud, {Addar: or, Ard}	0.0	neutral	Estes foram os filhos de Belá: Adar, Gera, pai de Eúde,
1CH.8.4	8	4	And Abishua, and Naaman, and Ahoah,	0.0	neutral	Abisua, Naamã, Aoá,
1CH.8.5	8	5	And Gera, and Shephuphan, and Huram. {Shephuphan: or, Shupham}	0.0	neutral	Gera, Sefufá e Hurão.
1CH.8.6	8	6	And these {are} the sons of Ehud: these are the heads of the fathers of the inhabitants of Geba, and they removed them to Manahath:	0.0	neutral	Estes foram os descendentes de Eúde, chefes das famílias dos habitantes de Geba, que foram deportados para Manaate:
1CH.8.7	8	7	And Naaman, and Ahiah, and Gera, he removed them, and begat Uzza, and Ahihud.	0.0	neutral	Naamã, Aías e Gera. Esse Gera, pai de Uzá e de Aiúde, foi quem os deportou.
1CH.8.8	8	8	And Shaharaim begat {children} in the country of Moab, after he had sent them away; Hushim and Baara {were} his wives.	0.0	neutral	Depois de ter se divorciado de suas mulheres Husim e Baara, Saaraim teve filhos na terra de Moabe.
1CH.8.9	8	9	And he begat of Hodesh his wife, Jobab, and Zibia, and Mesha, and Malcham,	0.0	neutral	Com sua mulher Hodes ele gerou Jobabe, Zíbia, Messa, Malcã,
1CH.8.10	8	10	And Jeuz, and Shachia, and Mirma. These {were} his sons, heads of the fathers.	0.0	neutral	Jeús, Saquias e Mirma. Esses foram seus filhos, chefes de famílias.
1CH.8.11	8	11	And of Hushim he begat Abitub, and Elpaal.	0.0	neutral	Com Husim ele gerou Abitube e Elpaal.
1CH.8.12	8	12	The sons of Elpaal; Eber, and Misham, and Shamed, who built Ono, and Lod, with the towns thereof:	0.0	neutral	Estes foram os filhos de Elpaal: Héber, Misã, Semede, que fundou Ono e Lode com seus povoados.
1CH.8.13	8	13	Beriah also, and Shema, who {were} heads of the fathers of the inhabitants of Aijalon, who drove away the inhabitants of Gath:	0.0	neutral	Berias e Sema foram os chefes das famílias dos habitantes de Aijalom, e foram eles que expulsaram os habitantes de Gate.
1CH.8.14	8	14	And Ahio, Shashak, and Jeremoth,	0.0	neutral	Aiô, Sasaque, Jeremote,
1CH.8.15	8	15	And Zebadiah, and Arad, and Ader,	0.0	neutral	Zebadias, Arade, Éder,
1CH.8.16	8	16	And Michael, and Ispah, and Joha, the sons of Beriah;	0.0	neutral	Micael, Ispa e Joá foram descendentes de Berias.
1CH.8.17	8	17	And Zebadiah, and Meshullam, and Hezeki, and Heber,	0.0	neutral	Zebadias, Mesulão, Hizqui, Héber,
1CH.8.18	8	18	Ishmerai also, and Jezliah, and Jobab, the sons of Elpaal;	0.0	neutral	Ismerai, Izlias e Jobabe foram descendentes de Elpaal.
1CH.8.19	8	19	And Jakim, and Zichri, and Zabdi,	0.0	neutral	Jaquim, Zicri, Zabdi,
1CH.8.20	8	20	And Elienai, and Zilthai, and Eliel,	0.0	neutral	Elienai, Ziletai, Eliel,
1CH.8.21	8	21	And Adaiah, and Beraiah, and Shimrath, the sons of Shimhi; {Shimhi: or, Shema}	0.0	neutral	Adaías, Beraías e Sinrate foram descendentes de Simei.
1CH.8.22	8	22	And Ishpan, and Heber, and Eliel,	0.0	neutral	Ispã, Héber, Eliel,
1CH.8.23	8	23	And Abdon, and Zichri, and Hanan,	0.0	neutral	Abdom, Zicri, Hanã,
1CH.8.24	8	24	And Hananiah, and Elam, and Antothijah,	0.0	neutral	Hananias, Elão, Antotias,
