verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
2KI.21.15	21	15	Because they have done {that which was} evil in my sight, and have provoked me to anger, since the day their fathers came forth out of Egypt, even unto this day.	-0.85	negative	Por cuanto han hecho lo malo en mis ojos, y me han provocado á ira, desde el día que sus padres salieron de Egipto hasta hoy.
2KI.21.16	21	16	Moreover Manasseh shed innocent blood very much, till he had filled Jerusalem from one end to another; beside his sin wherewith he made Judah to sin, in doing {that which was} evil in the sight of the LORD. {from...: Heb. from mouth to mouth}	0.04	neutral	Fuera de esto, derramó Manasés mucha sangre inocente en gran manera, hasta henchir á Jerusalem de cabo á cabo: además de su pecado con que hizo pecar á Judá, para que hiciese lo malo en ojos de Jehová.
2KI.21.17	21	17	Now the rest of the acts of Manasseh, and all that he did, and his sin that he sinned, {are} they not written in the book of the chronicles of the kings of Judah?	0.0	neutral	Lo demás de los hechos de Manasés, y todas las cosas que hizo, y su pecado que cometió, ¿no está todo escrito en el libro de las crónicas de los reyes de Judá?
2KI.21.18	21	18	And Manasseh slept with his fathers, and was buried in the garden of his own house, in the garden of Uzza: and Amon his son reigned in his stead.	0.6	positive	Y durmió Manasés con sus padres, y fué sepultado en el huerto de su casa, en el huerto de Uzza; y reinó en su lugar Amón su hijo.
2KI.21.19	21	19	Amon {was} twenty and two years old when he began to reign, and he reigned two years in Jerusalem. And his mother's name {was} Meshullemeth, the daughter of Haruz of Jotbah.	0.1	neutral	De veinte y dos años era Amón cuando comenzó á reinar, y reinó dos años en Jerusalem. El nombre de su madre fué Mesalemeth hija de Harus de Jotba.
2KI.21.20	21	20	And he did {that which was} evil in the sight of the LORD, as his father Manasseh did.	-1.0	negative	E hizo lo malo en ojos de Jehová, como había hecho Manasés su padre.
2KI.21.21	21	21	And he walked in all the way that his father walked in, and served the idols that his father served, and worshipped them:	0.0	neutral	Y anduvo en todos los caminos en que su padre anduvo, y sirvió á las inmundicias á las cuales había servido su padre, y á ellas adoró;
2KI.21.22	21	22	And he forsook the LORD God of his fathers, and walked not in the way of the LORD.	0.0	neutral	Y dejó á Jehová el Dios de sus padres, y no anduvo en el camino de Jehová.
2KI.21.23	21	23	And the servants of Amon conspired against him, and slew the king in his own house.	0.6	positive	Y los siervos de Amón conspiraron contra él, y mataron al rey en su casa.
2KI.21.24	21	24	And the people of the land slew all them that had conspired against king Amon; and the people of the land made Josiah his son king in his stead.	0.0	neutral	Entonces el pueblo de la tierra hirió á todos los que habían conspirado contra el rey Amón; y puso el pueblo de la tierra por rey en su lugar á Josías su hijo.
2KI.21.25	21	25	Now the rest of the acts of Amon which he did, {are} they not written in the book of the chronicles of the kings of Judah?	0.0	neutral	Lo demás de los hechos de Amón, que efectuara, ¿no está todo escrito en el libro de las crónicas de los reyes de Judá?
2KI.21.26	21	26	And he was buried in his sepulchre in the garden of Uzza: and Josiah his son reigned in his stead. {Josiah: Gr. Josias}	0.0	neutral	Y fué sepultado en su sepulcro en el huerto de Uzza, y reinó en su lugar Josías su hijo.
2KI.22.1	22	1	Josiah {was} eight years old when he began to reign, and he reigned thirty and one years in Jerusalem. And his mother's name {was} Jedidah, the daughter of Adaiah of Boscath.	0.1	neutral	CUANDO Josías comenzó á reinar era de ocho años, y reinó en Jerusalem treinta y un años. El nombre de su madre fué Idida hija de Adaía de Boscath.
2KI.22.2	22	2	And he did {that which was} right in the sight of the LORD, and walked in all the way of David his father, and turned not aside to the right hand or to the left.	0.1905	positive	E hizo lo recto en ojos de Jehová, y anduvo en todo el camino de David su padre, sin apartarse á diestra ni á siniestra.
2KI.22.3	22	3	And it came to pass in the eighteenth year of king Josiah, {that} the king sent Shaphan the son of Azaliah, the son of Meshullam, the scribe, to the house of the LORD, saying,	0.0	neutral	Y á los dieciocho años del rey Josías, fué que envió el rey á Saphán hijo de Azalía, hijo de Mesullam, escriba, á la casa de Jehová, diciendo:
2KI.22.4	22	4	Go up to Hilkiah the high priest, that he may sum the silver which is brought into the house of the LORD, which the keepers of the door have gathered of the people: {door: Heb. threshold}	-0.295	negative	Ve á Hilcías, sumo sacerdote: dile que recoja el dinero que se ha metido en la casa de Jehová, que han juntado del pueblo los guardianes de la puerta,
2KI.22.5	22	5	And let them deliver it into the hand of the doers of the work, that have the oversight of the house of the LORD: and let them give it to the doers of the work which {is} in the house of the LORD, to repair the breaches of the house,	0.0	neutral	Y que lo pongan en manos de los que hacen la obra, que tienen cargo de la casa de Jehová, y que lo entreguen á los que hacen la obra de la casa de Jehová, para reparar las aberturas de la casa:
2KI.22.6	22	6	Unto carpenters, and builders, and masons, and to buy timber and hewn stone to repair the house.	0.0	neutral	A los carpinteros, á los maestros y albañiles, para comprar madera y piedra de cantería para reparar la casa;
2KI.22.7	22	7	Howbeit there was no reckoning made with them of the money that was delivered into their hand, because they dealt faithfully.	0.0	neutral	Y que no se les cuente el dinero cuyo manejo se les confiare, porque ellos proceden con fidelidad.
2KI.22.8	22	8	And Hilkiah the high priest said unto Shaphan the scribe, I have found the book of the law in the house of the LORD. And Hilkiah gave the book to Shaphan, and he read it.	0.16	positive	Entonces dijo el sumo sacerdote Hilcías á Saphán escriba: El libro de la ley he hallado en la casa de Jehová. E Hilcías dió el libro á Saphán, y leyólo.
2KI.22.9	22	9	And Shaphan the scribe came to the king, and brought the king word again, and said, Thy servants have gathered the money that was found in the house, and have delivered it into the hand of them that do the work, that have the oversight of the house of the LORD. {gathered: Heb. melted}	0.0	neutral	Viniendo luego Saphán escriba al rey, dió al rey la respuesta, y dijo: Tus siervos han juntado el dinero que se halló en el templo, y lo han entregado en poder de los que hacen la obra, que tienen cargo de la casa de Jehová.
2KI.22.10	22	10	And Shaphan the scribe shewed the king, saying, Hilkiah the priest hath delivered me a book. And Shaphan read it before the king.	0.0	neutral	Asimismo Saphán escriba declaró al rey, diciendo: Hilcías el sacerdote me ha dado un libro. Y leyólo Saphán delante del rey.
2KI.22.11	22	11	And it came to pass, when the king had heard the words of the book of the law, that he rent his clothes.	0.0	neutral	Y cuando el rey hubo oído las palabras del libro de la ley, rasgó sus vestidos.
2KI.22.12	22	12	And the king commanded Hilkiah the priest, and Ahikam the son of Shaphan, and Achbor the son of Michaiah, and Shaphan the scribe, and Asahiah a servant of the king's, saying, {Achbor: or, Abdon} {Michaiah: or, Micah}	0.0	neutral	Luego mandó el rey á Hilcías el sacerdote, y á Ahicam hijo de Saphán, y á Achbor hijo de Michâía, y á Saphán escriba, y á Asaía siervo del rey, diciendo:
2KI.22.13	22	13	Go ye, enquire of the LORD for me, and for the people, and for all Judah, concerning the words of this book that is found: for great {is} the wrath of the LORD that is kindled against us, because our fathers have not hearkened unto the words of this book, to do according unto all that which is written concerning us.	0.8	positive	Id, y preguntad á Jehová por mí, y por el pueblo, y por todo Judá, acerca de las palabras de este libro que se ha hallado: porque grande ira de Jehová es la que ha sido encendida contra nosotros, por cuanto nuestros padres no escucharon las palabras de este libro, para hacer conforme á todo lo que nos fué escrito.
2KI.22.14	22	14	So Hilkiah the priest, and Ahikam, and Achbor, and Shaphan, and Asahiah, went unto Huldah the prophetess, the wife of Shallum the son of Tikvah, the son of Harhas, keeper of the wardrobe; (now she dwelt in Jerusalem in the college;) and they communed with her. {wardrobe: Heb. garments} {in the...: or, in the second part}	0.125	positive	Entonces fué Hilcías el sacerdote, y Ahicam y Achbor y Saphán y Asaía, á Hulda profetisa, mujer de Sallum hijo de Ticva hijo de Araas, guarda de las vestiduras, la cual moraba en Jerusalem en la segunda parte de la ciudad, y hablaron con ella.
2KI.22.15	22	15	And she said unto them, Thus saith the LORD God of Israel, Tell the man that sent you to me,	0.0	neutral	Y ella les dijo: Así ha dicho Jehová el Dios de Israel: Decid al varón que os envió á mí:
2KI.22.16	22	16	Thus saith the LORD, Behold, I will bring evil upon this place, and upon the inhabitants thereof, {even} all the words of the book which the king of Judah hath read:	-1.0	negative	Así dijo Jehová: He aquí yo traigo mal sobre este lugar, y sobre los que en él moran, á saber, todas las palabras del libro que ha leído el rey de Judá:
2KI.22.17	22	17	Because they have forsaken me, and have burned incense unto other gods, that they might provoke me to anger with all the works of their hands; therefore my wrath shall be kindled against this place, and shall not be quenched.	-0.4125	negative	Por cuanto me dejaron á mí, y quemaron perfumes á dioses ajenos, provocándome á ira en toda obra de sus manos; y mi furor se ha encendido contra este lugar, y no se apagará.
2KI.22.18	22	18	But to the king of Judah which sent you to enquire of the LORD, thus shall ye say to him, Thus saith the LORD God of Israel, {As touching} the words which thou hast heard;	0.5	positive	Mas al rey de Judá que os ha enviado para que preguntaseis á Jehová, diréis así: Así ha dicho Jehová el Dios de Israel: Por cuanto oíste las palabras del libro,
2KI.22.19	22	19	Because thine heart was tender, and thou hast humbled thyself before the LORD, when thou heardest what I spake against this place, and against the inhabitants thereof, that they should become a desolation and a curse, and hast rent thy clothes, and wept before me; I also have heard {thee}, saith the LORD.	0.0	neutral	Y tu corazón se enterneció, y te humillaste delante de Jehová, cuando oíste lo que yo he pronunciado contra este lugar y contra sus moradores, que vendrían á ser asolados y malditos, y rasgaste tus vestidos, y lloraste en mi presencia, también yo te he oído, dice Jehová.
2KI.22.20	22	20	Behold therefore, I will gather thee unto thy fathers, and thou shalt be gathered into thy grave in peace; and thine eyes shall not see all the evil which I will bring upon this place. And they brought the king word again.	-1.0	negative	Por tanto, he aquí yo te recogeré con tus padres, y tú serás recogido á tu sepulcro en paz, y no verán tus ojos todo el mal que yo traigo sobre este lugar. Y ellos dieron al rey la respuesta.
2KI.23.1	23	1	And the king sent, and they gathered unto him all the elders of Judah and of Jerusalem.	0.0	neutral	ENTONCES el rey envió, y juntaron á él todos los ancianos de Judá y de Jerusalem.
2KI.23.2	23	2	And the king went up into the house of the LORD, and all the men of Judah and all the inhabitants of Jerusalem with him, and the priests, and the prophets, and all the people, both small and great: and he read in their ears all the words of the book of the covenant which was found in the house of the LORD. {both...: Heb. from small even unto great}	0.275	positive	Y subió el rey á la casa de Jehová con todos los varones de Judá, y con todos los moradores de Jerusalem, con los sacerdotes y profetas y con todo el pueblo, desde el más chico hasta el más grande; y leyó, oyéndolo ellos, todas las palabras del libro del pacto que había sido hallado en la casa de Jehová.
2KI.23.3	23	3	And the king stood by a pillar, and made a covenant before the LORD, to walk after the LORD, and to keep his commandments and his testimonies and his statutes with all {their} heart and all {their} soul, to perform the words of this covenant that were written in this book. And all the people stood to the covenant.	0.0	neutral	Y poniéndose el rey en pie junto á la columna, hizo alianza delante de Jehová, de que irían en pos de Jehová, y guardarían sus mandamientos, y sus testimonios, y sus estatutos, con todo el corazón y con toda el alma, y que cumplirían las palabras de la alianza que estaban escritas en aquel libro. Y todo el pueblo confirmó el pacto.
2KI.23.4	23	4	And the king commanded Hilkiah the high priest, and the priests of the second order, and the keepers of the door, to bring forth out of the temple of the LORD all the vessels that were made for Baal, and for the grove, and for all the host of heaven: and he burned them without Jerusalem in the fields of Kidron, and carried the ashes of them unto Bethel.	0.08	neutral	Entonces mandó el rey al sumo sacerdote Hilcías, y á los sacerdotes de segundo orden, y á los guardianes de la puerta, que sacasen del templo de Jehová todos los vasos que habían sido hechos para Baal, y para el bosque, y para toda la milicia del cielo; y quemólos fuera de Jerusalem en el campo de Cedrón, é hizo llevar las cenizas de ellos á Beth-el.
