verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
1KI.8.33	8	33	When thy people Israel be smitten down before the enemy, because they have sinned against thee, and shall turn again to thee, and confess thy name, and pray, and make supplication unto thee in this house: {in: or, toward}	-0.4528	negative	Cuando tu pueblo Israel hubiere caído delante de sus enemigos, por haber pecado contra ti, y á ti se volvieren, y confesaren tu nombre, y oraren, y te rogaren y suplicaren en esta casa;
1KI.8.34	8	34	Then hear thou in heaven, and forgive the sin of thy people Israel, and bring them again unto the land which thou gavest unto their fathers.	0.0	neutral	Oyelos tú en los cielos, y perdona el pecado de tu pueblo Israel, y vuélvelos á la tierra que diste á sus padres.
1KI.8.35	8	35	When heaven is shut up, and there is no rain, because they have sinned against thee; if they pray toward this place, and confess thy name, and turn from their sin, when thou afflictest them:	0.0	neutral	Cuando el cielo se cerrare, y no lloviere, por haber ellos pecado contra ti, y te rogaren en este lugar, y confesaren tu nombre, y se volvieren del pecado, cuando los hubieres afligido;
1KI.8.36	8	36	Then hear thou in heaven, and forgive the sin of thy servants, and of thy people Israel, that thou teach them the good way wherein they should walk, and give rain upon thy land, which thou hast given to thy people for an inheritance.	0.7	positive	Tú oirás en los cielos, y perdonarás el pecado de tus siervos y de tu pueblo Israel, enseñándoles el buen camino en que anden; y darás lluvias sobre tu tierra, la cual diste á tu pueblo por heredad.
1KI.8.37	8	37	If there be in the land famine, if there be pestilence, blasting, mildew, locust, {or} if there be caterpiller; if their enemy besiege them in the land of their cities; whatsoever plague, whatsoever sickness {there be}; {cities: or, jurisdiction}	0.0	neutral	Cuando en la tierra hubiere hambre, ó pestilencia, ó tizoncillo, ó niebla, ó langosta, ó pulgón: si sus enemigos los tuvieren cercados en la tierra de su domicilio; cualquiera plaga ó enfermedad que sea;
1KI.8.38	8	38	What prayer and supplication soever be {made} by any man, {or} by all thy people Israel, which shall know every man the plague of his own heart, and spread forth his hands toward this house:	0.6	positive	Toda oración y toda súplica que hiciere cualquier hombre, ó todo tu pueblo Israel, cuando cualquiera sintiere la plaga de su corazón, y extendiere sus manos á esta casa;
1KI.8.39	8	39	Then hear thou in heaven thy dwelling place, and forgive, and do, and give to every man according to his ways, whose heart thou knowest; (for thou, {even} thou only, knowest the hearts of all the children of men;)	0.125	positive	Tú oirás en los cielos, en la habitación de tu morada, y perdonarás, y obrarás, y darás á cada uno conforme á sus caminos, cuyo corazón tú conoces; (porque sólo tú conoces el corazón de todos los hijos de los hombres;)
1KI.8.40	8	40	That they may fear thee all the days that they live in the land which thou gavest unto our fathers.	0.1364	positive	Para que te teman todos los días que vivieren sobre la haz de la tierra que tú diste á nuestros padres.
1KI.8.41	8	41	Moreover concerning a stranger, that {is} not of thy people Israel, but cometh out of a far country for thy name's sake;	0.1	neutral	Asimismo el extranjero, que no es de tu pueblo Israel, que hubiere venido de lejanas tierras á causa de tu nombre,
1KI.8.42	8	42	(For they shall hear of thy great name, and of thy strong hand, and of thy stretched out arm;) when he shall come and pray toward this house;	0.3583	positive	(Porque oirán de tu grande nombre, y de tu mano fuerte, y de tu brazo extendido,) y viniere á orar á esta casa;
