verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
EXO.1.1	1	1	Now these {are} the names of the children of Israel, which came into Egypt; every man and his household came with Jacob.	0.0	neutral	ESTOS son los nombres de los hijos de Israel, que entraron en Egipto con Jacob; cada uno entró con su familia.
EXO.1.2	1	2	Reuben, Simeon, Levi, and Judah,	0.0	neutral	Rubén, Simeón, Leví y Judá;
EXO.1.3	1	3	Issachar, Zebulun, and Benjamin,	0.0	neutral	Issachâr, Zabulón y Benjamín;
EXO.1.4	1	4	Dan, and Naphtali, Gad, and Asher.	0.0	neutral	Dan y Nephtalí, Gad y Aser.
EXO.1.5	1	5	And all the souls that came out of the loins of Jacob were seventy souls: for Joseph was in Egypt {already}. {loins: Heb. thigh}	0.0	neutral	Y todas las almas de los que salieron del muslo de Jacob, fueron setenta. Y José estaba en Egipto.
EXO.1.6	1	6	And Joseph died, and all his brethren, and all that generation.	0.0	neutral	Y murió José, y todos sus hermanos, y toda aquella generación.
EXO.1.7	1	7	And the children of Israel were fruitful, and increased abundantly, and multiplied, and waxed exceeding mighty; and the land was filled with them.	0.4667	positive	Y los hijos de Israel crecieron, y multiplicaron, y fueron aumentados y corroborados en extremo; y llenóse la tierra de ellos.
EXO.1.8	1	8	Now there arose up a new king over Egypt, which knew not Joseph.	0.1364	positive	Levantóse entretanto un nuevo rey sobre Egipto, que no conocía á José; el cual dijo á su pueblo:
EXO.1.9	1	9	And he said unto his people, Behold, the people of the children of Israel {are} more and mightier than we:	0.5	positive	He aquí, el pueblo de los hijos de Israel es mayor y más fuerte que nosotros:
EXO.1.10	1	10	Come on, let us deal wisely with them; lest they multiply, and it come to pass, that, when there falleth out any war, they join also unto our enemies, and fight against us, and {so} get them up out of the land.	0.35	positive	Ahora, pues, seamos sabios para con él, porque no se multiplique, y acontezca que viniendo guerra, él también se junte con nuestros enemigos, y pelee contra nosotros, y se vaya de la tierra.
EXO.1.11	1	11	Therefore they did set over them taskmasters to afflict them with their burdens. And they built for Pharaoh treasure cities, Pithom and Raamses.	0.0	neutral	Entonces pusieron sobre él comisarios de tributos que los molestasen con sus cargas; y edificaron á Faraón las ciudades de los bastimentos, Phithom y Raamses.
EXO.1.12	1	12	But the more they afflicted them, the more they multiplied and grew. And they were grieved because of the children of Israel. {But...: Heb. And as they afflicted them, so they multiplied, etc}	0.5	positive	Empero cuanto más los oprimían, tanto más se multiplicaban y crecían: así que estaban ellos fastidiados de los hijos de Israel.
EXO.1.13	1	13	And the Egyptians made the children of Israel to serve with rigour:	0.0	neutral	Y los Egipcios hicieron servir á los hijos de Israel con dureza:
EXO.1.14	1	14	And they made their lives bitter with hard bondage, in morter, and in brick, and in all manner of service in the field: all their service, wherein they made them serve, {was} with rigour.	-0.1958	negative	Y amargaron su vida con dura servidumbre, en hacer barro y ladrillo, y en toda labor del campo, y en todo su servicio, al cual los obligaban con rigorismo.
EXO.1.15	1	15	And the king of Egypt spake to the Hebrew midwives, of which the name of the one {was} Shiphrah, and the name of the other Puah:	-0.125	negative	Y habló el rey de Egipto á las parteras de las Hebreas, una de las cuales se llamaba Siphra, y otra Phúa, y díjoles:
EXO.1.16	1	16	And he said, When ye do the office of a midwife to the Hebrew women, and see {them} upon the stools; if it {be} a son, then ye shall kill him: but if it {be} a daughter, then she shall live.	0.1364	positive	Cuando parteareis á las Hebreas, y mirareis los asientos, si fuere hijo, matadlo; y si fuere hija, entonces viva.
EXO.1.17	1	17	But the midwives feared God, and did not as the king of Egypt commanded them, but saved the men children alive.	0.1	neutral	Mas las parteras temieron á Dios, y no hicieron como les mandó el rey de Egipto, sino que reservaban la vida á los niños.
